NFVnice: Dynamic Backpressure and Scheduling for NFV Service Chains,2017,"Kulkarni, Sameer G. and Zhang, Wei and Hwang, Jinho and Rajagopalan, Shriram and Ramakrishnan, K. K. and Wood, Timothy and Arumaithurai, Mayutan and Fu, Xiaoming",SIGCOMM ’17
An Adaptive Resource Provisioning Scheme for Effective QoS Maintenance in the IaaS Cloud,2015,"Adegboyega, Abiola",VT15
ETOM Mapping onto NFV Framework: IMS Use Case,2017,"Seraoui, Youssef and Belmekki, Mostafa and Bellafkih, Mostafa and Raouyane, Brahim",ICCWCS’17
Dynamic Network Function (DNF): Service Chain Placement and Bottleneck Removal for Edge-Fog-Cloud Interplay,2018,"Hirwe, Anish and Aich, Mrinal and Kataoka, Kotaro",AINTEC ’18
SAFE: Service Availability via Failure Elimination Through VNF Scaling,2019,"Xia, Rui and Dai, Haipeng and Zheng, Jiaqi and Gu, Rong and Wang, Xiaoyu and Chen, Guihai",ICPP 2019
Energy Efficient Resource Management in Virtualized Cloud Data Centers,2010,"Beloglazov, Anton and Buyya, Rajkumar",CCGRID ’10
Adding Support for Automatic Enforcement of Security Policies in NFV Networks,2019,"Basile, Cataldo and Valenza, Fulvio and Lioy, Antonio and Lopez, Diego R. and Pastor Perales, Antonio",IEEE/ACM Trans. Netw.
Data-Driven Resource Flexing for Network Functions Visualization,2018,"Cao, Lianjie and Fahmy, Sonia and Sharma, Puneet and Zhe, Shandian",ANCS ’18
How Should I Slice My Network? A Multi-Service Empirical Evaluation of Resource Sharing Efficiency,2018,"Marquez, Cristina and Gramaglia, Marco and Fiore, Marco and Banchs, Albert and Costa-Perez, Xavier",MobiCom ’18
ORCA: An <u>ORC</U>hestration <u>a</U>utomata for Configuring VNFs,2017,"Iglesias, Jesus Omana and Aroca, Jordi Arjona and Hilt, Volker and Lugones, Diego",Middleware ’17
VOLTAIC: Volume Optimization Layer to Assign Cloud Resources,2012,"Carvalho, Hugo E. T. and Duarte, Otto Carlos M. B.",ICICS ’12
Towards Efficient Server Architecture for Virtualized Network Function Deployment: Implications and Implementations,2016,"Hu, Yang and Li, Tao",MICRO-49
DaVinci: Dynamically Adaptive Virtual Networks for a Customized Internet,2008,"He, Jiayue and Zhang-Shen, Rui and Li, Ying and Lee, Cheng-Yen and Rexford, Jennifer and Chiang, Mung",CoNEXT ’08
VrAIn: A Deep Learning Approach Tailoring Computing and Radio Resources in Virtualized RANs,2019,"Ayala-Romero, Jose A. and Garcia-Saavedra, Andres and Gramaglia, Marco and Costa-Perez, Xavier and Banchs, Albert and Alcaraz, Juan J.",MobiCom ’19
New Kid on the Block: Network Functions Visualization: From Big Boxes to Carrier Clouds,2018,"Nobach, Leonhard and Hohlfeld, Oliver and Hausheer, David",SIGCOMM Comput. Commun. Rev.
We Don’t Need No Licensing Server,2018,"Sharma, Puneet and Raghuramu, Arun and Lee, David and Saxena, Vinay and Chuah, Chen-Nee",HotNets ’18
Automated Profiling of Virtualized Media Processing Functions Using Telemetry and Machine Learning,2018,"Mekuria, Rufael and McGrath, Michael J. and Riccobene, Vincenzo and Bayon-Molino, Victor and Tselios, Christos and Thomson, John and Dobrodub, Artem",MMSys ’18
